match_id,player_id,team_id,opponent_team_id,position_bucket,official_start_ts,is_home,minutes,stat_pts
0022300077,1631093,1610612765,1610612766,NBA,2023-10-27,0.0,23.0,18.0
0022300078,1629008,1610612743,1610612763,NBA,2023-10-27,0.0,28.863333333333333,9.0
0022300078,1631128,1610612743,1610612763,NBA,2023-10-27,0.0,18.691666666666666,5.0
0022300078,1631212,1610612743,1610612763,NBA,2023-10-27,0.0,18.111666666666668,9.0
0022300078,202704,1610612743,1610612763,NBA,2023-10-27,0.0,21.695,16.0
0022300078,203999,1610612743,1610612763,NBA,2023-10-27,0.0,34.96666666666667,22.0
0022300079,1627749,1610612737,1610612752,NBA,2023-10-27,1.0,34.75,18.0
0022300079,1628404,1610612752,1610612737,NBA,2023-10-27,0.0,21.683333333333334,4.0
0022300079,1628973,1610612752,1610612737,NBA,2023-10-27,0.0,32.7,31.0
0022300079,1628978,1610612752,1610612737,NBA,2023-10-27,0.0,20.366666666666667,16.0
0022300079,203992,1610612737,1610612752,NBA,2023-10-27,1.0,25.833333333333332,16.0
0022300080,1630202,1610612738,1610612748,NBA,2023-10-27,1.0,12.966666666666667,3.0
0022300080,1630573,1610612738,1610612748,NBA,2023-10-27,1.0,10.2,3.0
0022300081,1627777,1610612739,1610612760,NBA,2023-10-27,1.0,20.926666666666666,2.0
0022300081,1629652,1610612760,1610612739,NBA,2023-10-27,0.0,38.821666666666665,25.0
0022300081,1630198,1610612760,1610612739,NBA,2023-10-27,0.0,22.293333333333333,5.0
0022300081,1630581,1610612760,1610612739,NBA,2023-10-27,0.0,28.418333333333333,2.0
0022300081,1630598,1610612760,1610612739,NBA,2023-10-27,0.0,11.49,0.0
0022300081,1631096,1610612760,1610612739,NBA,2023-10-27,0.0,30.85,16.0
0022300081,1641717,1610612760,1610612739,NBA,2023-10-27,0.0,18.815,9.0
0022300082,1627783,1610612761,1610612741,NBA,2023-10-27,0.0,41.28333333333333,18.0
0022300082,1629632,1610612741,1610612761,NBA,2023-10-27,1.0,40.37,17.0
0022300082,201942,1610612741,1610612761,NBA,2023-10-27,1.0,41.35,33.0
0022300082,203083,1610612741,1610612761,NBA,2023-10-27,1.0,12.325,8.0
0022300082,203471,1610612761,1610612741,NBA,2023-10-27,0.0,35.32833333333333,10.0
0022300083,1630200,1610612759,1610612745,NBA,2023-10-27,1.0,32.935,6.0
0022300083,1630224,1610612745,1610612759,NBA,2023-10-27,0.0,37.81666666666667,22.0
0022300083,201145,1610612745,1610612759,NBA,2023-10-27,0.0,20.62,10.0
0022300084,1626220,1610612751,1610612742,NBA,2023-10-27,0.0,34.11666666666667,11.0
0022300084,1628969,1610612751,1610612742,NBA,2023-10-27,0.0,35.46333333333333,18.0
0022300084,203501,1610612742,1610612751,NBA,2023-10-27,1.0,30.218333333333334,19.0
0022300085,1629012,1610612762,1610612746,NBA,2023-10-27,1.0,19.516666666666666,13.0
0022300085,1630534,1610612762,1610612746,NBA,2023-10-27,1.0,12.366666666666667,2.0
0022300085,203482,1610612762,1610612746,NBA,2023-10-27,1.0,26.733333333333334,15.0
0022300086,1629021,1610612753,1610612757,NBA,2023-10-27,0.0,21.916666666666668,17.0
0022300086,1630175,1610612753,1610612757,NBA,2023-10-27,0.0,28.1,18.0
0022300086,1631094,1610612753,1610612757,NBA,2023-10-27,0.0,35.13,14.0
0022300087,1627734,1610612758,1610612744,NBA,2023-10-27,1.0,35.81666666666667,19.0
0022300087,1631099,1610612758,1610612744,NBA,2023-10-27,1.0,39.6,16.0
0022300087,202691,1610612744,1610612758,NBA,2023-10-27,0.0,32.803333333333335,18.0
