player_id,match_id,official_start_ts,team_id,opponent_team_id,position_bucket,is_home,realized_stat,roll_5_mean,roll_5_median,roll_5_std,roll_5_p25,roll_5_p75,roll_5_wmean,roll_5_per36_mean,roll_10_mean,roll_10_median,roll_10_std,roll_10_p25,roll_10_p75,roll_10_wmean,roll_10_per36_mean,roll_20_mean,roll_20_median,roll_20_std,roll_20_p25,roll_20_p75,roll_20_wmean,roll_20_per36_mean,opp_allowed_5_mean,opp_allowed_5_median,opp_allowed_5_std,opp_allowed_5_p25,opp_allowed_5_p75,opp_allowed_5_wmean,opp_allowed_10_mean,opp_allowed_10_median,opp_allowed_10_std,opp_allowed_10_p25,opp_allowed_10_p75,opp_allowed_10_wmean,opp_allowed_20_mean,opp_allowed_20_median,opp_allowed_20_std,opp_allowed_20_p25,opp_allowed_20_p75,opp_allowed_20_wmean,rest_days,is_b2b,matches_last7,line_value,mean_minus_line,z_gap,y_over
1626166,0022300097,2023-10-29,1610612749,1610612737,NBA,1.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,8.059701492537313,2.0,2.0,0.0,2.0,2.0,2.0,8.059701492537313,2.0,2.0,0.0,2.0,2.0,2.0,8.059701492537313,17.0,16.0,11.045361017187261,10.0,23.5,15.658766961193203,17.0,16.0,11.045361017187261,10.0,23.5,15.658766961193203,17.0,16.0,11.045361017187261,10.0,23.5,15.658766961193203,3.0,0.0,1.0,2.5,-0.5,-1.0,1.0
1626166,0022300107,2023-10-30,1610612749,1610612748,NBA,1.0,11.0,4.0,4.0,2.0,3.0,5.0,4.149719381374998,11.529850746268657,4.0,4.0,2.0,3.0,5.0,4.149719381374998,11.529850746268657,4.0,4.0,2.0,3.0,5.0,4.149719381374998,11.529850746268657,12.8,12.0,8.304215796810679,5.0,19.0,13.650725202573849,10.142857142857142,5.0,8.184106049944289,3.5,15.5,11.731949528387918,10.142857142857142,5.0,8.184106049944289,3.5,15.5,11.731949528387918,1.0,1.0,2.0,4.5,-0.5,-0.25,1.0
1626166,0022300116,2023-11-01,1610612749,1610612761,NBA,0.0,4.0,6.333333333333333,6.0,3.6817870057290873,4.0,8.5,6.782897023884759,17.866515750297356,6.333333333333333,6.0,3.6817870057290873,4.0,8.5,6.782897023884759,17.866515750297356,6.333333333333333,6.0,3.6817870057290873,4.0,8.5,6.782897023884759,17.866515750297356,17.6,17.0,10.818502669038818,8.0,26.0,16.747428661629574,13.375,9.0,10.343325142332132,6.25,19.25,14.2370615680494,13.375,9.0,10.343325142332132,6.25,19.25,14.2370615680494,2.0,0.0,3.0,6.5,-0.16666666666666696,-0.04526787302125934,0.0
1626166,0022300002,2023-11-03,1610612749,1610612752,NBA,1.0,0.0,5.75,5.0,3.344772040064913,3.5,7.25,5.9237539500213225,15.28470356664972,5.75,5.0,3.344772040064913,3.5,7.25,5.9237539500213225,15.28470356664972,5.75,5.0,3.344772040064913,3.5,7.25,5.9237539500213225,15.28470356664972,11.6,11.0,4.841487374764082,8.0,16.0,10.685152280654926,8.857142857142858,8.0,6.057547156318341,4.5,13.5,9.02124583734628,8.857142857142858,8.0,6.057547156318341,4.5,13.5,9.02124583734628,2.0,0.0,3.0,5.5,0.25,0.07474350927519359,0.0
1626166,0022300149,2023-11-06,1610612749,1610612751,NBA,0.0,11.0,4.6,4.0,3.7735924528226414,2.0,6.0,4.359918906687695,12.227762853319776,4.6,4.0,3.7735924528226414,2.0,6.0,4.359918906687695,12.227762853319776,4.6,4.0,3.7735924528226414,2.0,6.0,4.359918906687695,12.227762853319776,10.8,7.0,8.840814442120138,5.0,18.0,9.87394435699731,10.428571428571429,7.0,9.053131153002777,2.5,18.5,9.93745484728722,10.428571428571429,7.0,9.053131153002777,2.5,18.5,9.93745484728722,3.0,0.0,3.0,4.5,0.09999999999999964,0.026499947000158907,1.0
1626166,0022300165,2023-11-08,1610612749,1610612765,NBA,1.0,7.0,6.4,6.0,4.223742416388575,4.0,11.0,6.407146332457714,15.459859252060019,5.666666666666667,5.0,4.189935029992178,2.5,9.75,5.918501724992685,14.226499625472902,5.666666666666667,5.0,4.189935029992178,2.5,9.75,5.918501724992685,14.226499625472902,16.8,17.0,4.995998398718719,14.0,21.0,17.009507616502212,11.7,11.5,7.975587752636166,4.75,19.25,13.764435410229769,11.7,11.5,7.975587752636166,4.75,19.25,13.764435410229769,2.0,0.0,3.0,6.5,-0.833333333333333,-0.19888932104393245,1.0
1626166,0022300171,2023-11-09,1610612749,1610612754,NBA,0.0,7.0,6.6,7.0,4.223742416388575,4.0,11.0,6.614428018780265,14.573066799229826,5.857142857142857,6.0,3.9070840946220984,3.0,9.0,6.150239659340663,13.70357649838378,5.857142857142857,6.0,3.9070840946220984,3.0,9.0,6.150239659340663,13.70357649838378,6.6,4.0,3.6660605559646724,4.0,10.0,6.258399621744031,10.0,10.0,5.692099788303083,4.25,14.25,8.570107725714683,10.214285714285714,10.0,5.387532849466593,5.5,14.25,8.768929707564554,1.0,1.0,3.0,6.5,-0.6428571428571432,-0.16453629542860448,1.0
1626166,0022300173,2023-11-11,1610612749,1610612753,NBA,0.0,14.0,5.8,7.0,3.655133376499413,4.0,7.0,6.169327523131123,10.141093878784284,6.0,6.5,3.6742346141747673,3.5,8.0,6.319621252083422,13.038127080601686,6.0,6.5,3.6742346141747673,3.5,8.0,6.319621252083422,13.038127080601686,14.8,16.0,6.794115100585212,15.0,20.0,15.358822332314464,10.3,10.5,7.197916365171245,4.0,15.75,12.405333906936736,9.75,10.0,6.796138609534093,4.0,15.25,12.015272094608157,2.0,0.0,3.0,5.5,0.5,0.13608276348795434,1.0
1626166,0022300190,2023-11-13,1610612749,1610612741,NBA,1.0,0.0,7.8,7.0,4.707440918375928,7.0,11.0,8.507096731254387,12.575874113191814,6.888888888888889,7.0,4.280302285390716,4.0,11.0,7.763835132486921,13.77979831472866,6.888888888888889,7.0,4.280302285390716,4.0,11.0,7.763835132486921,13.77979831472866,10.4,13.0,5.0039984012787215,6.0,14.0,9.482804555867531,12.8,11.5,8.51821577561874,6.75,15.5,11.303486906262993,13.3,12.0,7.389857914736926,7.75,18.5,12.05253633765941,2.0,0.0,4.0,7.5,-0.6111111111111107,-0.14277288620407028,0.0
1626166,0022300195,2023-11-15,1610612749,1610612761,NBA,0.0,13.0,7.8,7.0,4.707440918375928,7.0,11.0,7.3221260128101875,12.575874113191814,6.2,6.5,4.556314299957807,2.5,10.0,6.371786875712075,12.401818483255795,6.2,6.5,4.556314299957807,2.5,10.0,6.371786875712075,12.401818483255795,12.0,12.0,3.40587727318528,10.0,14.0,11.809220402800827,10.6,10.0,4.923413450036469,6.25,13.5,10.761991575119124,11.526315789473685,10.0,7.829555482795414,6.0,15.5,11.09990803838096,2.0,0.0,4.0,7.5,-1.2999999999999998,-0.2853183328489956,1.0
1626166,0022300027,2023-11-17,1610612749,1610612766,NBA,0.0,2.0,8.2,7.0,5.035871324805669,7.0,13.0,8.3624123686629,13.55393984182012,7.3,7.0,4.73392015141785,4.5,11.0,7.7351213754693795,14.506899546940067,6.818181818181818,7.0,4.763844547845055,3.0,11.0,7.514502531814013,13.920790632903454,12.8,14.0,4.874423042781576,9.0,15.0,12.418404063613885,13.6,14.0,4.079215610874228,11.25,15.75,12.895625994112375,13.31578947368421,12.0,5.371000412340599,9.0,17.0,12.986060617066617,2.0,0.0,3.0,8.5,-1.2000000000000002,-0.25348970020979117,0.0
1626166,0022300205,2023-11-18,1610612749,1610612742,NBA,1.0,11.0,7.2,7.0,5.635601121442148,2.0,13.0,6.852669578579808,12.140894369204604,6.9,7.0,4.988987873306568,2.5,11.0,6.7762366114544355,13.356980584217215,6.416666666666667,6.5,4.75146176338281,2.0,11.0,6.594261494840971,13.052458944559122,16.0,15.0,8.270429251254134,12.0,16.0,14.993223320296742,19.1,18.5,7.699999999999999,15.25,21.25,17.06342186440935,15.7,16.0,7.62299153875957,9.75,19.0,16.02252699738571,1.0,1.0,4.0,7.5,-0.5999999999999996,-0.12026487440674728,1.0
1626166,0022300219,2023-11-20,1610612749,1610612764,NBA,0.0,6.0,8.0,11.0,5.830951894845301,2.0,13.0,7.92916722256038,15.069549300769896,6.9,7.0,4.988987873306568,2.5,11.0,7.364573160946701,12.605321589777088,6.769230769230769,7.0,4.725606939510052,2.0,11.0,7.309739727918009,13.81944331912792,25.0,31.0,11.47170431975999,14.0,32.0,22.684000221752914,19.6,19.0,11.825396399275586,9.25,30.0,19.780518044163248,15.75,11.5,10.945889639494817,8.75,24.75,18.22553083387976,2.0,0.0,4.0,8.5,-1.5999999999999996,-0.3207063317513262,0.0
1626166,0022300228,2023-11-22,1610612749,1610612738,NBA,0.0,3.0,6.4,6.0,5.0039984012787215,2.0,11.0,6.662834422021421,13.747744783544562,7.1,7.0,4.908156476723211,3.0,11.0,7.254513055131335,13.161809448368189,6.714285714285714,6.5,4.558016038155376,2.5,11.0,7.101845438754681,13.768350625020053,17.4,23.0,8.309031231136395,10.0,23.0,17.862279976179952,14.9,15.0,7.3,10.5,21.5,16.39195617164219,13.55,11.5,8.628296471494242,7.75,17.5,15.675852038655282,2.0,0.0,4.0,6.5,0.5999999999999996,0.12224549132560915,0.0
1626166,0022300049,2023-11-24,1610612749,1610612764,NBA,1.0,4.0,7.0,6.0,4.33589667773576,3.0,11.0,6.526736501218381,15.841444298891895,7.4,7.0,4.543126676640219,3.75,11.0,6.781914398989514,14.208659206041855,6.466666666666667,6.0,4.49987654151632,2.5,11.0,6.463175802820191,13.548360421801162,12.8,16.0,4.445222154178573,9.0,16.0,12.881932648653336,18.4,16.0,11.18212859879549,10.25,27.5,16.504708600746234,15.35,13.0,10.026340309405022,8.75,18.75,16.00054042669316,2.0,0.0,4.0,7.5,-0.09999999999999964,-0.022011272658140516,0.0
1626166,0022300245,2023-11-26,1610612749,1610612757,NBA,1.0,3.0,5.2,4.0,3.1874754901018454,3.0,6.0,5.05246516734217,11.730910811209231,6.7,6.5,4.473253849269008,3.25,10.0,6.1143667341306545,12.642425326514672,6.3125,6.0,4.39770892056307,2.75,11.0,6.08584432109034,13.236453188624012,10.8,13.0,5.455272678794342,9.0,15.0,9.844542637509097,9.4,10.5,5.0039984012787215,6.25,13.0,9.323526108001321,10.2,11.0,4.226109321823087,7.75,13.0,9.58823044080219,2.0,0.0,3.0,5.5,1.2000000000000002,0.2682611004059376,0.0
