player_id,match_id,line_value
1626166,0022300097,2.5
1626166,0022300107,4.5
1626166,0022300116,6.5
1626166,0022300002,5.5
1626166,0022300149,4.5
1626166,0022300165,6.5
1626166,0022300171,6.5
1626166,0022300173,5.5
1626166,0022300190,7.5
1626166,0022300195,7.5
1626166,0022300027,8.5
1626166,0022300205,7.5
1626166,0022300219,8.5
1626166,0022300228,6.5
1626166,0022300049,7.5
1626166,0022300245,5.5
1626166,0022300056,5.5
1626166,0022300269,3.5
1626166,0022300286,3.5
1626166,0022301201,6.5
1626166,0022301229,8.5
1626166,0022300300,8.5
1626166,0022300315,9.5
1626166,0022300334,8.5
1626166,0022300346,6.5
1626166,0022300361,4.5
1626166,0022300378,4.5
1626166,0022300388,4.5
1626166,0022300401,5.5
1626166,0022300417,4.5
1626166,0022300433,7.5
1626166,0022300454,6.5
1626166,0022300466,6.5
1626166,0022300477,6.5
1626166,0022300496,7.5
1626166,0022300528,3.5
1626166,0022300552,5.5
1626166,0022300572,7.5
1626166,0022300624,8.5
1626166,0022300639,8.5
1626166,0022300648,8.5
1626166,0022300667,9.5
1626166,0022300683,7.5
1626166,0022300702,4.5
1626166,0022300711,3.5
1626166,0022300725,3.5
1626166,0022300742,3.5
1626166,0022300753,6.5
1626166,0022300762,8.5
1626166,0022300779,11.5
1626166,0022300794,10.5
1626166,0022300805,10.5
1626166,0022300817,9.5
1626166,0022300836,8.5
1626166,0022300858,8.5
1626166,0022300887,8.5
1626166,0022300896,10.5
1626166,0022300909,10.5
1626166,0022300927,12.5
1626166,0022300939,11.5
1626166,0022300958,11.5
1626166,0022300969,11.5
1626166,0022300985,10.5
1626166,0022301002,8.5
1626166,0022301018,9.5
1626166,0022301028,9.5
1626166,0022301042,11.5
1626166,0022301052,10.5
1626166,0022301067,10.5
1626166,0022301080,8.5
1626166,0022301093,11.5
1626166,0022301111,8.5
1626166,0022301129,8.5
1626166,0022301140,9.5
1626166,0022301145,9.5
1626166,0022301171,5.5
1626166,0022301192,4.5
1626167,0022300091,11.5
1626167,0022300102,15.5
1626167,0022300118,17.5
1626167,0022300001,14.5
1626167,0022300133,17.5
1626167,0022300146,17.5
1626167,0022300158,16.5
1626167,0022300171,17.5
1626167,0022300180,19.5
1626167,0022300019,18.5
1626167,0022300209,19.5
1626167,0022300039,18.5
1626167,0022300230,16.5
1626167,0022300047,15.5
1626167,0022300254,15.5
1626167,0022300267,14.5
1626167,0022300284,15.5
1626167,0022301202,16.5
1626167,0022301229,16.5
1626167,0022300293,16.5
1626167,0022300315,19.5
1626167,0022300328,21.5
1626167,0022300338,18.5
1626167,0022300365,17.5
1626167,0022300377,16.5
1626167,0022300391,14.5
1626167,0022300409,15.5
1626167,0022300422,17.5
1626167,0022300441,19.5
1626167,0022300454,21.5
1626167,0022300466,21.5
1626167,0022300480,19.5
1626167,0022300493,21.5
1626167,0022300507,19.5
1626167,0022300520,16.5
1626167,0022300533,17.5
1626167,0022300550,17.5
1626167,0022300564,14.5
1626167,0022300583,14.5
1626167,0022300590,14.5
1626167,0022300604,16.5
1626167,0022300614,16.5
1626167,0022300627,18.5
1626167,0022300636,20.5
1626167,0022300670,17.5
1626167,0022300685,15.5
1626167,0022300707,13.5
1626167,0022300719,12.5
1626167,0022300733,12.5
1626167,0022300755,14.5
1626167,0022300761,16.5
1626167,0022300793,19.5
1626167,0022300819,18.5
1626167,0022300829,21.5
1626167,0022300843,21.5
1626167,0022300863,19.5
1626167,0022300877,17.5
1626167,0022300892,18.5
1626167,0022300903,15.5
1626167,0022300928,14.5
1626167,0022300941,14.5
1626167,0022300948,16.5
1626167,0022300968,19.5
1626167,0022300983,17.5
1626167,0022300997,17.5
1626167,0022301016,16.5
1626167,0022301032,14.5
1626167,0022301043,12.5
1626167,0022301054,15.5
1626167,0022301063,15.5
1626167,0022301089,16.5
1626167,0022301116,15.5
1626167,0022301133,14.5
1626167,0022301146,13.5
1626167,0022301174,14.5
1626167,0022301188,16.5
1626171,0022300097,10.5
1626171,0022300107,11.5
1626171,0022300116,12.5
1626171,0022300002,12.5
1626171,0022300149,10.5
1626171,0022300165,10.5
1626171,0022300171,11.5
1626171,0022300173,10.5
1626171,0022300190,11.5
1626171,0022300195,14.5
1626171,0022300027,15.5
1626171,0022300205,14.5
1626171,0022300219,14.5
1626171,0022300228,15.5
1626171,0022300049,12.5
1626171,0022300245,9.5
1626171,0022300056,9.5
1626171,0022300269,8.5
1626171,0022300286,5.5
1626171,0022301201,7.5
1626171,0022301229,10.5
1626171,0022300300,8.5
1626171,0022300315,10.5
1626171,0022300334,13.5
1626171,0022300346,16.5
1626171,0022300361,16.5
1626171,0022300378,20.5
1626171,0022300388,18.5
1626171,0022300401,18.5
1626171,0022300417,15.5
1626171,0022300433,15.5
1626171,0022300454,12.5
1626171,0022300466,13.5
1626171,0022300477,10.5
1626171,0022300496,9.5
1626171,0022300510,7.5
1626171,0022300528,7.5
1626171,0022300545,11.5
1626171,0022300552,11.5
1626171,0022300572,14.5
1626171,0022300592,16.5
1626171,0022300606,16.5
1626171,0022300624,11.5
1626171,0022300639,11.5
1626171,0022300648,9.5
1626171,0022300667,10.5
1626171,0022300683,11.5
1626171,0022300702,12.5
1626171,0022300711,12.5
1626171,0022300725,15.5
1626171,0022300738,12.5
1626171,0022300745,13.5
1626171,0022300767,14.5
1626171,0022300773,15.5
1626171,0022300790,12.5
1626171,0022300808,14.5
1626171,0022300817,15.5
1626171,0022300840,15.5
1626171,0022300849,16.5
1626171,0022300864,16.5
1626171,0022300880,15.5
1626171,0022300899,18.5
1626171,0022300915,18.5
1626171,0022300924,17.5
1626171,0022300945,16.5
1626171,0022300958,16.5
1626171,0022300976,12.5
1626171,0022300998,15.5
1626171,0022301007,17.5
1626171,0022301030,16.5
1626171,0022301045,16.5
1626171,0022301061,18.5
1626171,0022301076,13.5
1626171,0022301095,11.5
1626171,0022301107,12.5
1626171,0022301122,13.5
1626171,0022301139,13.5
1626171,0022301148,17.5
1626171,0022301162,17.5
1626171,0022301179,21.5
1626171,0022301191,18.5
1626220,0022300084,5.5
1626220,0022300101,8.5
1626220,0022300119,8.5
1626220,0022300004,7.5
1626220,0022300136,7.5
1626220,0022300149,8.5
1626220,0022300160,8.5
1626220,0022300010,9.5
1626220,0022300178,8.5
1626220,0022300020,8.5
1626220,0022300200,10.5
1626220,0022300208,8.5
1626220,0022300227,6.5
1626220,0022300240,5.5
1626220,0022300250,4.5
1626220,0022300054,6.5
1626220,0022300282,8.5
1626220,0022301209,9.5
1626220,0022301219,10.5
1626220,0022300303,12.5
1626220,0022300317,9.5
1626220,0022300322,7.5
1626220,0022300339,6.5
1626220,0022300357,7.5
1626220,0022300368,6.5
1626220,0022300383,6.5
1626220,0022300394,7.5
1626220,0022300406,8.5
1626220,0022300417,7.5
1626220,0022300430,7.5
1626220,0022300447,7.5
1626220,0022300461,5.5
1626220,0022300469,4.5
1626220,0022300481,5.5
1626220,0022300498,6.5
1626220,0022300527,6.5
1626220,0022300562,5.5
1626220,0022300578,8.5
1626220,0022300591,6.5
1626220,0022300600,5.5
1626220,0022300615,4.5
1626220,0022300629,5.5
1626220,0022300645,3.5
1626220,0022300660,4.5
1626220,0022300677,6.5
1626220,0022300698,6.5
1626220,0022300717,6.5
1626220,0022300720,8.5
1626220,0022300757,11.5
1626220,0022300774,9.5
1626220,0022300787,10.5
1626220,0022300796,10.5
1626220,0022300806,9.5
1626220,0022300818,6.5
1626220,0022300854,9.5
1626220,0022300870,10.5
1626220,0022300878,12.5
1626220,0022300893,12.5
1626220,0022300905,13.5
1626220,0022300920,11.5
1626220,0022300934,10.5
1626220,0022300955,6.5
1626220,0022300961,4.5
1626220,0022300976,3.5
1626220,0022301002,4.5
1626220,0022301010,6.5
1626220,0022301025,9.5
1626220,0022301039,10.5
1626220,0022301059,11.5
1626220,0022301069,9.5
1626220,0022301092,8.5
1626220,0022301110,5.5
1626220,0022301125,8.5
1626220,0022301138,6.5
1626220,0022301156,5.5
1626220,0022301165,6.5
1626220,0022301185,9.5
1626220,0022301194,6.5
1627734,0022300087,22.5
1627734,0022300100,20.5
1627734,0022300126,17.5
1627734,0022300137,19.5
1627734,0022300153,17.5
1627734,0022300170,14.5
1627734,0022300016,16.5
1627734,0022300191,17.5
1627734,0022300198,17.5
1627734,0022300032,20.5
1627734,0022300212,24.5
1627734,0022300222,25.5
1627734,0022300233,24.5
1627734,0022300050,24.5
1627734,0022300060,21.5
1627734,0022300264,17.5
1627734,0022300290,13.5
1627734,0022301204,15.5
1627734,0022301228,15.5
1627734,0022300303,15.5
1627734,0022300309,16.5
1627734,0022300324,17.5
1627734,0022300342,17.5
1627734,0022300358,16.5
1627734,0022300373,19.5
1627734,0022300387,18.5
1627734,0022300400,21.5
1627734,0022300413,21.5
1627734,0022300431,24.5
1627734,0022300449,23.5
1627734,0022300464,23.5
1627734,0022300476,22.5
1627734,0022300492,23.5
1627734,0022300500,21.5
1627734,0022300512,19.5
1627734,0022300518,24.5
1627734,0022300532,24.5
1627734,0022300552,23.5
1627734,0022300567,22.5
1627734,0022300583,23.5
1627734,0022300613,20.5
1627734,0022300632,18.5
1627734,0022300651,19.5
1627734,0022300663,18.5
1627734,0022300678,18.5
1627734,0022300691,17.5
1627734,0022300700,20.5
1627734,0022300714,19.5
1627734,0022300732,18.5
1627734,0022300746,20.5
1627734,0022300760,19.5
1627734,0022300774,18.5
1627734,0022300786,23.5
1627734,0022300803,24.5
1627734,0022300827,23.5
1627734,0022300831,23.5
1627734,0022300847,21.5
1627734,0022300862,17.5
1627734,0022300883,17.5
1627734,0022300901,16.5
1627734,0022300908,16.5
1627734,0022300929,19.5
1627734,0022300945,22.5
1627734,0022300954,22.5
1627734,0022300975,22.5
1627734,0022300989,23.5
1627734,0022300999,22.5
1627734,0022301005,19.5
1627734,0022301020,18.5
1627734,0022301042,18.5
1627734,0022301047,16.5
1627734,0022301073,14.5
1627734,0022301086,14.5
1627734,0022301101,14.5
1627734,0022301112,15.5
1627734,0022301118,16.5
1627734,0022301141,17.5
1627734,0022301153,18.5
1627734,0022301170,16.5
1627734,0022301185,15.5
1627734,0022301200,17.5
1627736,0022300097,5.5
1627736,0022300107,11.5
1627736,0022300116,9.5
1627736,0022300002,12.5
1627736,0022300149,9.5
1627736,0022300165,9.5
1627736,0022300171,7.5
1627736,0022300173,9.5
