fold,n_train,n_val,calibrator,naive_val.brier,naive_val.logloss,naive_val.roc_auc,logreg_val.brier,logreg_val.logloss,logreg_val.roc_auc,hgb_cal_val.brier,hgb_cal_val.logloss,hgb_cal_val.roc_auc
1,147,857,platt,0.23781708315815006,0.6686040526399283,0.6368407578084997,0.3143676453199753,0.9018504903891819,0.5198984649911211,0.30295453551920165,0.8478800893545917,0.5688493425281346
2,1004,813,platt,0.24728655438495015,0.6921354181362586,0.6082740375843825,0.25274749876277713,0.7060309689232983,0.5960773581463237,0.29009387571957956,0.8823719507610036,0.6066988992276349
3,1817,914,platt,0.23643475278903658,0.6662979498425179,0.6415155815569972,0.23691800531252427,0.6668280515931638,0.647937905468026,0.2948253017301267,0.9277335227402411,0.6313861214087118
4,2731,669,platt,0.24496012478510912,0.6858905991239358,0.613076881701151,0.23229389127570316,0.6567826942818757,0.653440671280525,0.2666236371718958,0.7535916328364448,0.6065505432638865
5,3400,891,platt,0.2385571407030787,0.6713205104605312,0.6349379977820345,0.23390194986533375,0.6609693727424121,0.6509275128541184,0.2794942835325364,0.8235925906976274,0.613146486540982
6,4291,434,isotonic,0.2451840608114554,0.6875267933476401,0.6166858286492931,0.2343661414639296,0.6630366989665567,0.6524016351558508,0.26881830531738693,0.784412905352319,0.6009942939873957
